post,ans1,severity1,bully1,ans2,severity2,bully2,ans3,severity3,bully3
Q: member &quot;do you have a big penis&quot; xD lmaoo<br>A: haha(: i suree do,Yes,7,big penis,No,0,,No,0,
Q: my momss a BITCH.! shee fuckin blockedd my texting.! aha ohh i mightt hang out wiff Davidd memberr himm.?<3(:<br>A: hahaha weinerr!(:r Duh i remember him :),Yes,8,my momss a BITCH.! shee fuckin blockedd my texting.! aha ohh i mightt hang out wiff Davidd memberr himm.,No,0,,No,0,
Q: Oh ISSS THAT FAGGOT ISAYAH GOIN TO BEE DER???<br>A: Is your mom gonna be there??? Fuckk you bugg!! and it takes a faggot to know a faggot hunnyyy,Yes,9,'FAGGOT' 'Fuckk' 'faggot' 'faggot',Yes,1,Fuckk you bugg!! and it takes a faggot to know a faggot hunnyyy,Yes,7,Is your mom gonna be there??? Fuckk you bugg!! and it takes a faggot to know a faggot hunnyyy
Q: R U A VIRGIN?<br>A: Yeaaaah .,No,0,,No,0,,Yes,2,VIRGIN
Q: Remember that gurl u fight last year?<br>A: Hmm; maybe why? She wants another ass beating? Lol jkk,Yes,8,She wants another ass beating,Yes,6,"""""""""""""""Remember that gurl u fight last year?""""""""""""""""She wants another ass beating?""""""""""""""",Yes,2,She wants another ass beating?
Q: SARAH STANFORD TAKES IT UP THE BUTTHOLE.<br>A: Youur mean stop hating :),Yes,5,'SARAH STANFORD TAKES IT UP THE BUTTHOLE.',Yes,4,SARAH STANFORD TAKES IT UP THE BUTTHOLE,Yes,10,
Q: shee dontt havee no big ass boobS :P (NOT YHUU) ahaha<br>A: UhhKrystal   iRely donnt gett youu ! Lol,No,0,,Yes,3,no big ass boobs,No,0,
Q: Spit or Swallow?<br>A: ill pray for you .,No,0,,No,0,,Yes,9,spit or swallow
Q: stanford has a penis.<br>A: its probably bigger than yours :D but why are you telling me this  im not even her friend ? lmao<3,No,0,,Yes,1,stanford has a penis. its probably bigger than yours,No,0,
Q: the fukk?<br>A: Wht?,Yes,2,fukk,No,0,,Yes,3,the fukk?
Q: Thn y r u stil frends wit Krystal?<br>A: Cuhz I can why don't you gett off my nuts &amp;don't worry about it(:,No,0,,No,0,,Yes,3,gett off my nuts
Q: tht was mee lazyyy ass.!(:<br>A: How am i lazy?? YOU are(:,No,,,No,0,,Yes,1,lazyyy ass
Q: Tootsy is eww<br>A: She gonnna kick yoo ass :0 lol,Yes,3,tootsy is eww. She gonna kick yoo ass,Yes,7,ass,Yes,3,kick yoo ass
Q: Ur short :) bt ur a cutey<br>A: Im taller than alot of ppl(: thankkks,Yes,1,Ur short :) bt ur a cutey,No,0,,No,0,
Q: VVV so you have nutts? i knew it. hahaha<br>A: Yea maybe you should grow some and take it off anonymous next time (:,Yes,3,VVV so you have nutts,Yes,6,"""""""you have nutts, grow some and take it off""""""",No,0,
Q: Wait Nevermind I Am Signed In<br>A: Dumb ass(:,Yes,1,"""""""Calling the other person a """"""""dumbass"""""""".""""""",Yes,3,dumb ass,Yes,1,Dumb ass
Q: weeenieee.! yhurr muthaa ahaha jkk i lovee you andd yhur mommie(: ahha grrr i swearrr my lil cuzz betteer watchh her muttthaa fuckki8n attitude beforee i pop her in the facee.!<br>A: Haha wht did she do now?,No,0,,No,0,,Yes,2,muttthaa fuckki8n attitude beforee i pop her in the facee.!
Q: Were do yew stay at?<br>A: in some house in Riverside  California; come &amp;stalk me(;,No,0,,No,0,,Yes,6,come and stalk me.
Q: Who&#39;s the sexiest man alive?<br>A: Dj RowdyA &amp;your daddy(;,No,0,,Yes,1,your daddy,No,0,
Q: Why r u such a bitchh??? I hate u I&#39;m gonna kick ur ass whore!!<br>A: Your the bitch for having it on anonymous . Do you honestly think I care if your low life ass hates me?? Your probably ALL talk so just shut up now !,Yes,7,bitch kick ur ass whore,Yes,8,kick ur ass whore,Yes,10,Why r u such a bitchh??? I hate u I'm gonna kick ur ass whore!!
Q: Would you ever cheat on Chris?<br>A: No never!  I love tht boy<3,Yes,2,Cheat,No,0,,No,0,
Q: Y do u hang out wit dat eZ girl? U int evn eZ gurl pik a betr friend<br>A: Well don't hate on whoever your referring to.,No,0,,Yes,3,pick better friends,Yes,2,dat eZ girl
Q: Y r u still frends wit Merisa?<br>A: Cuhz I don't care what you or anyone else says(: Shes my friend so get over it!,No,0,,No,0,,Yes,2,"""""""Questioning why someone would be friends with another person, implying that they're not friend-worthy."""""""
Q: YHUUU READY TO GET YHUR A$$ BEat THIS SATuRDAYY?!?!?!?!?!??!?!?!?!?!?!!?!??!?!?!?!?!?!!?!?!?!?!?!??!?!?!!!??!?!????!?!?!?!?!?!!??!!??!!??!?!?!!?!??!?!?!?!?!?!???!?!?!?!??!?!?!?<br>A: You can try  but it won't happen.. I don't know why your ass is still talking to me.. I don't like to talk to ugly bitchessss,Yes,10,READY TO GET YHUR A$$ BEat THIS SATuRDAYY,Yes,8,ugly bitchessss,Yes,8,GET YHUR A$$ BEat
Q: Your a S l U t<br>A: I don't recall becoming you.  but if you say soooo,No,0,,Yes,5,slut,Yes,4,Your a S l U t
Q: YOUR NOT FAT ALEXIS!! SHe&#39;S THE FAT ASS lOW LiFE BITCH!!!<br>A: Haha thanks (: who are youu ?,Yes,5,she's the fat ass low life bitch!!!,Yes,7,Fat ass low life bitch,No,0,
Q: Your so fucking HOT!<br>A: Thanks .,No,0,,No,0,,Yes,1,fucking hot
Q: Your to young what love is bitch so do you use it!!! Dumb whore put your boobs away!!!<br>A: Get some boobs   &amp;a life !,Yes,5,"""""""bitch, dumb, whore""""""",Yes,6,dumb whore,Yes,6,"""""""bitch, dumb whore"""""""
Q: Your ugly x)!<br>A: Thanks but I think you need Jesus in your life,Yes,5,your ugly,Yes,4,your ugly!,Yes,4,ugly
Q: - ilOVEU fAtASS ! <3<br>A: love yew 2,No,0,,Yes,1,fAtASS,No,0,
Q: - YO fAt ASS !<br>A: Yodda!,No,0,,Yes,4,fat ass,Yes,2,Fat Ass
Q: ! w@n+ y0 b!q d!(k $uRf@(!n m@ l!pSz$<br>A: anytyme,Yes,7,b!q d!(k,No,0,,No,0,
Q: ! w@nN@ l!qqhH+ y0 d!(K 0N f!r3 N d3nN sM0k3 !t w!+ m@ v@q!n@<br>A: lol yew on sum otha shxt nd not even dressed in all black,No,0,,Yes,5,-! w@nN@ l!qqhH+ y0 d!(K 0N f!r3 N d3nN sM0k3 !t w!+ m@ v@q!n@,No,0,
Q: ! W@NTt Y3Ww TA SW@Ll0wW M@ T@MP0N DH3N PUT !T B@CK IN MY VAGqINA WIT CHOO LIPSZZZ .<br>A: im sorry datz wun thing iDnt do,No,0,,No,0,,Yes,10,"""""""SW@Ll0wW M@ T@MP0N, IN MY VAGqINA WIT CHOO LIPSZZZ"""""""
Q: ! wUnN@ sU(k y0 d!(k<br>A: so kum nd do it,No,0,,Yes,6,sU(k y0 d!(k,No,0,
Q: !m @ q!rl d03 ! $0 ju$+ cum @n l!(k m@ cum n m@ pu$$zzy<br>A: nope iDnt do dat boo,Yes,4,pu$$zzy,No,0,,No,0,
Q: !m@ b3 pu++!n d!$ pu$$zzy 0n y@ $!d3 burn$ !n @ $3c0nd. @l$0 ! D0 d@ b3$+ d33p thr0@+ !n d@ vv0rld. ! C@n $h0v3 13 !nch3$ d0wn m@ +hr0@+ @+ 0nc3. ! @!n+ ly!nq<br>A: well lemme trow mine dnt yo thoart nd iDnt eat pussy so ya wont be duin daT,Yes,5,!m@ b3 pu++!n d!$ pu$$zzy 0n y@ $!d3 burn$ !n @ $3c0nd. @l$0 ! D0 d@ b3$+ d33p thr0@+ !n d@ vv0rld. ! C@n $h0v3 13 !nch3$ d0wn m@ +hr0@+ @+ 0nc3. ! @!n+ ly!nq,Yes,10,,No,0,
Q: $+0p ly!nq. ! $@vv y0 d!(k<br>A: nope,No,0,,,4,"""""""""""""""$+0p ly!nq. ! $@vv y0 d!(k"""""""" The first person is acusing the other of lying, then tells him to save his dick.""""""",Yes,2,$+0p ly!nq. ! $@vv y0 d!(k- Stop lying. Saw yo dick
Q: $3x??<br>A: wen??,No,0,,No,0,,Yes,7,$3x??
Q: And i add u again later<br>A: give mi ur myspace,No,0,,No,0,iz yyo cum realie gray,No,0,
Q: Awwhhhaa *my 0rq@$m*<br>A: mhm... lol,Yes,3,"""""""""""""""Q: Awwhhhaa *my 0rq@$m*""""""""""""""",No,,,No,1,
Q: aye dhis daddy pelt<br>A: wtf get outa hea bxtch!!,Yes,8,wtf get outa hea bxtch!,Yes,6,wtf,Yes,3,wtf get outa hea bxtch!!
Q: B!+(h !M@ B3 PUMP!N D!S$Z D!(k !N Y0 3@R S0 H@RD DAM BRUH I BUST3D A L0@D 0F CUM !N MA M0MMASZ HA!R SH3 MO!STURIZIN IT DO3. I P!CTURE Y0 VA@GIN@ T0 BE3 ALL H@!RY N $$H!ZZZZ W@!T T!L ! MUNCH ON DAT N@PPY BROWN H@!RY H@!T!@N PUZZIE<br>A: hoe ass bxtch how bout ya show yo face pussy..nd stop kuming hidden...So how bout ya suk mi dik nd die slowly,Yes,6,B!+(h !M@ B3 PUMP!N D!S$Z D!(k !N Y0 3@R S0 H@RD DAM BRUH I BUST3D A L0@D 0F CUM !N MA M0MMASZ HA!R SH3 MO!STURIZIN IT DO3. I P!CTURE Y0 VA@GIN@ T0 BE3 ALL H@!RY N $$H!ZZZZ W@!T T!L ! MUNCH ON DAT N@PPY BROWN H@!RY H@!T!@N PUZZIE,Yes,3,hoe ass bxtch how bout ya show yo face pussy..nd stop kuming hidden...So how bout ya suk mi dik nd die slowly,Yes,7,"""""""hoe,ass,bixtch ,suk dik"""""""
Q: bitch i can rap beta den yo ugly ass<br>A: lol go suk my dik nigka kum check outside lakes park n we will see...Who diz anywaysz???,Yes,7,"""""""bitch, yo ugly ass, go suk my dik nigka,""""""",Yes,8,yo ugly ass,Yes,4,
Q: bitch you kant rapp niqquh.!<br>A: suk my dik pussy,No,0,,Yes,9,"""""""bitch you kant rapp niquah,suk my dik pussy""""""",Yes,5,Q: bitch you kant rapp niqquh.! A: suk my dik pussy  whole context
Q: bxtchh who yew twakinqq tew<br>A: lol yew duh !!,Yes,6,bxtchh,No,0,,Yes,2,bxtchh
Q: damn whyy all dhese girlss askinqq bout ur dickk.?<br>A: nd idk yew ask dem,Yes,5,damn whyy all dhese girls askinqq bout ur dickk,No,0,,No,0,
Q: Damnn Mikey Youu Gott silly Hoess Comingg On mahh Shxtt .. To Say Mikey Is Theress.. It Bettahh Be Datt Seriouss Withh haa Desperatee Ass !<br>A: iDnt even kno who dA FUK DEA IS,No,0,,No,0,,Yes,2,Ass FUK DEA IS
Q: did alix suk yu up<br>A: wtf bxtch iAnit gayy nd no da fukk he anit lyke wat iLuk lyke iOnly do gurlz now clea it! Bxtch !!,Yes,4,wtf bxtch Bxtch !!,Yes,4,"""""""""""""""wtf bxtch iAnit gayy nd no da fukk he anit lyke wat iLuk lyke iOnly do gurlz now clea it! Bxtch !! """"""""""""""",Yes,7,"""""""suck you up, bitch, gay"""""""
Q: do yew kno yew uqlyy as fukc?<br>A: do yew kno dat yo mom iz stank ass hoe lmao,No,0,,Yes,2,yew uqlyy as fukc,Yes,4,
Q: Does hoes nasstty<br>A: lol iKno iDnt even kno dem,Yes,6,"""""""hoe, nasty""""""",No,0,,No,0,
Q: drip y@ cUm oN mi lYkK h0+ w@X<br>A: lol,No,0,,Yes,2,-drip y@ cUm oN mi lYkK h0+ w@X,No,0,
Q: DUUUU YUUUUU SHAVE Y0 D!(K<br>A: no Wut iLuk lyke,Yes,1,-DUUUU YUUUUU SHAVE Y0 D!(K,No,0,,No,0,
Q: fU(K m3 !N dH@ A$$H0l3<br>A: hell no !!!,Yes,5,A$$H0l3,Yes,7,fU(K m3 !N dH@ A$$H0l3,No,0,
Q: G!mm3 d@+. Hawt ass dikk<br>A: kum get it den,No,0,,Yes,4,ass dikk,No,0,
Q: Haha u gotta step ur formspring game niqqa<br>A: lmfao wAt fuking formspring game,No,0,,Yes,9,niqqa,No,0,
Q: HOW BIG ISZ YO DICK<br>A: itz 8inchez nd im still growing,No,0,,Yes,9,DICK,No,0,
Q: HOW BIG IZ Y0 DICK CAUSE I WANNA SUCK IT<br>A: it is 8 inches nd growing,No,0,,No,0,,Yes,10,HOW BIG IZ Y0 DICK
Q: how dem tittties. i herd dey stil qrowin.<br>A: lol dnt got none,No,0,,Yes,1,tittties,Yes,5,sexual harassment
Q: http://www.meatspin.com/<br>A: wtf???,Yes,8,-http://www.meatspin.com/,No,0,,Yes,8,Posting links to a pornographic website.
Q: I cuuldd sl!d3 uhhpp and dwn on dhat dikk<br>A: kum on den..gimmie yo numba nd ima call lol,No,0,,Yes,4,slap up and down on that dick,No,0,
Q: i h3rd yUh sU(k3D @L!X&#39;s D!(K n y@LL cUM3D !N 3@(H 0+3RszZ 3Y3sz N m0@n3D @ll n!qH+ l0Nq<br>A: wtf bxtch get da fuk out hea wid dat ish WUT I LUK LYKE !!!,Yes,8,wtf bxtch get da ful out hea wid dat ish,Yes,6,wtf bxtch get da fuk out hea wid dat ish WUT I LUK LYKE !!!,Yes,4,"""""""""""""""wtf bxtch get da fuk out hea wid dat ish WUT I LUK LYKE """""""""""""""
Q: I kno its funny.laff away nigguh. Ok.bah.<br>A: lol,No,0,,Yes,2,I kno its funny.laff away nigguh. Ok.bah.,No,0,
Q: I LUHH DHAT PIC NEGRO ITSZS SEXY LEMM3 SUCK Y0 D!K????<br>A: lol yew sure kan,Yes,4,"""""""Negro, Suck yo Dick""""""",No,0,,Yes,3,suck yo dik
Q: i see yo dick n it look tasty<br>A: lol how?,Yes,2,dick n it look tasty,No,0,,No,0,
Q: I WANT DAT DICK<br>A: kum get it den,Yes,2,i want dat dick,No,0,,No,0,
Q: i want to squat over your face and pee in you eyeballs.<br>A: LOL datz outrageous,No,0,,Yes,6,sexual harassment/harassment,No,0,
Q: i wNna suck ur dick so hard<br>A: kum on lol,Yes,5,i wNna suck ur dick so hard,No,0,,No,0,
Q: i wunt y0 di!ckk .<br>A: Kum get it den,Yes,8,i wunt y0 di!ckk,No,0,,No,0,
Q: I WUNT YO CUM ON MY LIPSZ.<br>A: ohkay tell mi when nd where,Yes,3,,Yes,1,I WUNT YO CUM ON MY LIPSZ.,No,0,
Q: IM HUMPIN DA CUMPUTER SCR3333N THINKIN ABOUT YUH N Y0 D!(K<br>A: lmfao bye,No,0,,Yes,8,IM HUMPIN DA CUMPUTER SCR3333N THINKIN ABOUT YUH,No,0,
Q: IMA BITE DA TIP OF YO DICK OFFF N SPLATTER IT INTO ITTY BITTY PIECES<br>A: oh naw iAnit on dat ish iNeed my dik,Yes,5,IMA BITE DA TIP OF YO DICK OFFF N SPLATTER IT INTO ITTY BITTY PIECES,Yes,3,IMA BITE DA TIP OF YO DICK OFFF N SPLATTER IT INTO ITTY BITTY PIECES,No,0,
Q: IMA HUMP DAT DICK ALL NITE L0Nq<br>A: im ready fa it,No,0,,No,0,,Yes,5,IMA HUMP DAT DICK ALL NITE
Q: is u gay<br>A: hello no bxtch clea itt of mi ish!!!,Yes,5,"""""""""""""""Q: is u gay A: hello no bxtch clea itt of mi ish!!""""""""""""""",Yes,1,bxtch (bitch),No,0,
Q: iz it tru dat yu wuz shakin y0 meat to da hannah montana show<br>A: wtf iDnt watch dat nd no iWasnt,Yes,6,"""""""shakin y0 meat ,wtf""""""",No,0,,No,0,
Q: iz yyo cum realie gray????<br>A: umm wtf?,Yes,3,iz yyo cum realie gray,Yes,7,cum realie gray,No,0,
Q: iz yyo cum realie pink????<br>A: no wtf?,No,0,,Yes,5,iz yyo cum realie pink,No,0,
Q: KUM ON DEN WIT DAT BIG DICK<br>A: yew gotta tell mi wea ta kum at,Yes,8,BIG DICK,Yes,2,,Yes,7,KUM ON DEN WIT DAT BIG DICK
Q: L!(k m@ cum ?<br>A: nope !!!,No,0,,No,0,,Yes,4,-L!(k m@ cum ?
Q: l3mmM3 pU+ sUm d!(K !n y@ w0RlD<br>A: bxtch iAnit gay,No,0,,No,0,,Yes,3,-l3mmM3 pU+ sUm d!(K !n y@ w0RlD-bxtch iAnit gay
Q: lemme grasp dat dick for a quick sec (;<br>A: lol mhm,No,0,,No,0,,Yes,8,grasp dat dick
Q: LIST3N &quot;MILLIONBABII&quot; ! B3+ Y3w @!N+ W0R+h $H!+ !Dk WhY YuHh (@ll Y0 S3Lf DH@+ N YuH m@D CuHh Y00 COOCH ST@NK<br>A: man yall anit guna bring dat ish on my stuff,No,0,,Yes,9,CuHh Y00 COOCH ST@NK,No,0,
Q: Lmao but then alix will see mee<br>A: lol how bout ya give it tew mi nd iWont accept the komment duh,No,0,,Yes,7,Lmao,No,0,
Q: lmaooo . who yhu think diss iss ??!!<br>A: kiya,No,0,,No,0,,Yes,8,lmaooo
Q: lmfao shxt dhatss whyy dheyy anonymouss ckuss dhem hoess nastyy n i saiid dnt get hurt ckuss yew bee gettinqq slickk n dnt bee fuckinqq wit mhe<br>A: lol ohka,Yes,8,"""""""""""""""lmfao shxt dhatss whyy dheyy anonymouss ckuss dhem hoess nastyy n i saiid dnt get hurt ckuss yew bee gettinqq slickk n dnt bee fuckinqq wit mhe""""""""""""""",Yes,4,"""""""""""""""Q: lmfao shxt dhatss whyy dheyy anonymouss ckuss dhem hoess nastyy n i saiid dnt get hurt ckuss yew bee gettinqq slickk n dnt bee fuckinqq wit mhe""""""""""""""",No,0,
Q: lolss brah im tired of these girls writeing me like foreal man control yo groupiess<br>A: LOl idk who dey are,Yes,6,control yo groupiess,No,0,,No,0,
Q: lolss damn baee dhiss femaless reallyy want ur dickk<br>A: lmao im telling yew,No,0,,Yes,9,dhiss femaless reallyy want ur dickk,No,0,
Q: lolss iim not laughinqq shut up<br>A: R I G H T!!!,No,0,,No,0,,Yes,2,shut up
Q: lolss iknoo yew do n gurl shut up yew anonymous im through argureinqq wit yew<br>A: lol wow,No,0,,Yes,7,shut up,Yes,1,through arguing with you
Q: lolss slickk mouthh aihh<br>A: lol iKno,Yes,1,lolss slickk mouthh aihh,No,0,,No,0,
Q: lolss so watss up witchaa yew<br>A: nun really juz fuxing around... Yew?,Yes,1,fuxing around,No,0,,No,0,
Q: -lolss yall hoess desperatee ass fuckk myy niggahh dont want yall brahh get real lmao deep throat hoee yew nastyy dhat shxt aint ckutee watchh yew gon catchh sum shxt hoe like seriouslyy dhat aint ckute anywayss sliden daddyy.*<br>A: lmfao iFeel ya,No,0,,Yes,8,"""""""hoes, desperate, don't want you, deep throat hoe, not cute""""""",Yes,6,"""""""""""""""Q: -lolss yall hoess desperatee ass fuckk myy niggahh dont want yall brahh get real lmao deep throat hoee yew nastyy dhat shxt aint ckutee watchh yew gon catchh sum shxt hoe like seriouslyy dhat aint ckute anywayss sliden daddyy.*"""""""""""""""
Q: lolss yew stolee dhat sxht frm mhe&quot;yew on sum otha shxt dressedd in all blackk&quot; lolss wow<br>A: lmfao stale,Yes,5,yew on sum otha shxt dressedd in all blackk,No,0,,No,0,
Q: M@ 0rq@$m$ @r3 $cr3@m!nq w!ldly 0u++@ my l!p$<br>A: lol,No,0,,No,0,,Yes,1,mild sexual harassment
Q: m33 yuhH n ma d@d qo++@ h@v3 a 3s0m3 a$aP<br>A: lol wtf hell no,No,0,,Yes,8,qo++@ h@v3 a 3s0m3 a$aP,No,0,
Q: M33T MII @T DH@ P@RKK.... IZZZ GOIN DOWNNNN!!!<br>A: which park??? nd when,Yes,10,"""""""""""""""meet me at the park it's going down"""""""" sounds threatening""""""",No,0,,No,0,
Q: mikey wassup my niggah ! ???<br>A: nun juz jooking nd viben,Yes,6,niggah,No,0,,No,0,
Q: Mmmmmmmmawwwu ooo my 0rq@$m !zz 0ff d@ (h@r+$ ! !m hump!nq d@ b3d @nd s0m3 of my cum c@m3 0u+<br>A: wtf lol,Yes,3,-0rq@$m !zz 0ff d@ (h@r+$ ! !m hump!nq d@ b3d @nd s0m3 of my cum c@m3 0u+,No,0,,No,6,Mmmmmmmmawwwu ooo my 0rq@$m !zz 0ff d@ (h@r+$ ! !m hump!nq d@ b3d @nd s0m3 of my cum c@m3 0u+
Q: n!qq@ d@+ p!( s3xY b!+!n y0 l!ip i fU(k!n lUh yUh n3qr0<br>A: lol who diz?,Yes,3,n!qq@ d@+ p!( s3xY b!+!n y0 l!ip i fU(k!n lUh yUh n3qr0,No,0,,Yes,5,"""""""""""""""n!qq@ d@+ p!( s3xY b!+!n y0 l!ip i fU(k!n lUh yUh n3qr0"""""""""""""""
Q: N!qq@ i b3+ u $m3ll lyk m@ d!rty qym $0(k<br>A: lmfao mhm,Yes,8,"""""""N!qq@, u $m3ll lyk m@ d!rty qym $0(k""""""",No,,,No,0,dicks to you
Q: n!qq@ l3@v3 @l!X @l0n3 H3 m!N3 n!qq@hH<br>A: wtf do iLuk gay datz mi homeboi,Yes,3,,Yes,8,gay,No,0,
Q: n!qqA@ yUhH $+@R+!N tA b3 m3@N<br>A: iAm hoe,No,0,,Yes,4,"""""""""""""""n!qqA""""""""""""""",No,0,
Q: NIGGGA YUH LOOKIN GUUD L8LY<br>A: ...,No,0,,Yes,7,NIGGGA,Yes,2,Nigga
Q: NIGGGAH ISZ YUH CIRCUMSIZED<br>A: kum luk bxtch,Yes,9,"""""""""""""""kum look bxtch""""""""""""""",Yes,10,NIGGGAH ISZ YUH CIRCUMSIZED,Yes,9,NIGGGAH ISZ YUH CIRCUMSIZED
Q: no how bowt yhu ansa my muh fhuckin qwestion andd not wit anotha qwestion . dayyum yhu so dayyum difficult<br>A: lmao iThink n kno who diz is....buh seriously idk...,Yes,2,no how bowt yhu ansa my muh fhuckin qwestion andd not wit anotha qwestion .,No,0,,No,0,
Q: o ok brah i love those songs on your myspace profile<br>A: lmao told yew bxtch...who diz?,Yes,6,bxtch,No,0,,No,0,
Q: OMMMMF ! omq m@ b@3! D!$ $h!+ cr@zy ! N33d yo d!ck<br>A: mhm ohkay,Yes,5,-D!$ $h!+ cr@zy ! N33d yo d!ck,No,0,,Yes,3,"""""""sexual harassment """"""""N33d yo d!ck"""""""""""""""
Q: Rhzhrbxbbz MY ORq@$m 0ff d@ m00n.<br>A: lmfao,No,0,,No,0,,Yes,7,ORq@$m
Q: Seee im makin u famous dese girls crazi dawg<br>A: lol nigka suk a big ass dik,Yes,7,"""""""crazi, nigka suk a big ass dik""""""",Yes,5,"""""""""""""""nigka suk a big ass dik """"""""""""""",Yes,5,lol nigka suk a big ass dik
Q: she askinq you do you have a pull back slow boy<br>A: wel;l she anit writing properly dumb bxtch md how bout yall kum luk,No,0,,Yes,2,dumb bxtch,Yes,4,dumb bxtch
Q: U 3xp3c+ m3 t@ d0 @ll d@ work? N!qq@ pl3@$3 3@+ m@ pu$$zzy<br>A: lol naw itz goes iStick yew Lick !!!,Yes,3,-U 3xp3c+ m3 t@ d0 @ll d@ work? N!qq@ pl3@$3 3@+ m@ pu$$zzy,No,0,,No,0,
Q: u are sooo nastyy !<br>A: naw im juz freaky,No,0,,Yes,3,"""""""""""""""u are sooo nastyy""""""""""""""",Yes,6,"""""""Calling the person """"""""so nasty""""""""."""""""
Q: uhmm bestie... y dnt u evr get da braces?? ya teeth are fcked up???<br>A: Lmao who diz ? nd iDnt have all mi teeth so suk a big slab lol,Yes,4,ya teeth are fcked up,Yes,3,uhmm bestie... y dnt u evr get da braces?? ya teeth are fcked up???,Yes,6,"""""""""""""""y dnt u evr get da braces?? ya teeth are fcked up???"""""""""""""""
Q: Vv3 h@d $3xx d@ 0+h3r d@Y @nd y0 p3n!$ $m3lt l!k3 p!zz@. D@$ q00d. @nd y00 cum +@$+3 l!k3 (h33$3(@k3<br>A: no we didnt,No,0,,Yes,3,cum sex,Yes,8,"""""""Lying, saying they had sex, and then insulting their smell/taste."""""""
Q: w@k3 uhP n sM3llL m@ pU$$$SS!3<br>A: sorry bye !!,Yes,4,pU$$$SS!3,No,2,-w@k3 uhP n sM3llL m@ pU$$$SS!3,No,0,
Q: w3 n33d t0 h@v3 @ +hr33 $0m3 w!D d@ f@+ r3+@rD3d qUrL $h@+3Z . n!qq@ ! dUN h3RD d@+ $h3 q0T d@ d0Wn$ynDr0m3 d!$3@S3 .<br>A: lmao wtf !,Yes,5,"""""""the entire question is barely readable, but i can make out """"""""retard"""""""" and """"""""nigga"""""""".""""""",No,0,,No,0,
Q: WhY dDOo yOU tAwK tWO aLOt oF fEmALES aS yOU sAY?<br>A: bekuz itz fun lol...n iDont lyke nigka's so dats y,No,0,,Yes,4,iDont lyke nigka's,No,0,
Q: why do guy&#39;s like ass so much  usually don&#39;t get any.<br>A: lol idk,No,0,,Yes,6,"""""""guy's like ass so much, usually don't get any.""""""",No,0,
Q: wHy yUhH w0N+ fU(K m3 !N d@ @$$ h0l3 ??? dH@+ $h!+ b3 f33l!n t!qH+ 0N y0 d!(K ! h3@Rd<br>A: no komment,No,0,,Yes,8,@$$ h0l3 ?,No,0,
Q: Wood you smash tevon k33n???<br>A: bxtch iAnit gay cleaa it,Yes,2,bxtch i aint gat,Yes,1,Wood you smash tevon k33n bxtch iAnit gay cleaa it,No,0,
Q: would yuh eva fuk a gurl named Zurii ??<br>A: y Not she a gurl rite nd she got a pussy !!! lol hehe,No,0,,Yes,5,pussy,Yes,6,she a gurl rite nd she got a pussy
Q: y when you suckd my dog up you was chokin and shit?<br>A: lmfao who da hell is diz wtf yew stopid [[neva dat]],Yes,4,when you suckd my dog up you was chokin and shit,No,0,,No,0,
Q: y0 d!(k !$Z SM@LL<br>A: nd no itz not yo moma anit say ish...but yew want it doe,No,0,,Yes,1,yo dick is small,Yes,8,y0 d!(k !$Z SM@LL
Q: y0 dick iz da size of ma booqersz<br>A: lmfao stale nd ewww,No,0,,No,0,,Yes,5,y0 dick iz da size of ma booqersz
Q: y0 lip bitin pic uqlie azz fuck!! n ya dick small alix told me!! nigga yew juzz ugly!!<br>A: Bxtch fuk wrung wid yo no lyfe aihh nd anit gay so alix anit see mi dik so get ghost fuk face hoe !!!!!!!!,Yes,5,Bxtch fuk wrung wid yo no lyfe aihh nd anit gay so alix anit see mi dik so get ghost fuk face hoe,Yes,10,"""""""uqlie azz fuck, ya dick small, nigga, ugly, Bxtch fuk wrung, anit gay, fuk face hoe""""""",No,0,
Q: y0 sk!n iSZ d@ col0R oF mah P00P<br>A: mhm,Yes,9,mah P00P,No,0,,No,0,
Q: Y0u m@d3 d!$ h03 0rq@$m. @q@!n. D@+ p!c+ur3 y0u q0+ @$ y0ur b@ckr0und !$ $00 h0+. My m0m h3@rd m3 0rq@$m @nd $h3 $cr3@m3d<br>A: lmfaO,No,0,,No,0,,Yes,8,Y0u m@d3 d!$ h03 0rq@$m. @q@!n. D@+ p!c+ur3 y0u q0+ @$ y0ur b@ckr0und !$ $00 h0+. My m0m h3@rd m3 0rq@$m @nd $h3 $cr3@m3d
Q: Y3@@@ NIGG@ YUHH LUUK GAY<br>A: bxtch suk mi slab nd get lost ... YODA!!!,Yes,8,"""""""Calling them """"""""Nigger"""""""" and saying they """"""""look gay"""""""".""""""",Yes,5,"""""""Nigga, bxtch, suk, get lost""""""",No,0,
Q: YEW EVA CUNSIDERED SMASHIN A WHIT3 GURL WIT NICE NIPPLES?????????<br>A: sure nd iHave smashed a white gurl,Yes,5,SMASHIN A WHIT3 GURL WIT NICE NIPPLES,Yes,3,,No,0,
Q: yhu conceited lah bastard ! lol<br>A: lol huh wat yew mean?,No,0,,Yes,2,bastard,No,0,
Q: yo mikeey why did you and zurii break up<br>A: im not guna lie iDnt memba..But if iDid memba it wud be nun of a damn concernz !!! LMAO,Yes,5,nun of a damn concernz!!! LMAO,No,0,,No,0,
Q: YO VAGINA FLAPPY<br>A: LMFAO iDNT HAVE ONE,Yes,4,,Yes,8,vagina,No,0,
